customId,winnerCode,coverage,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,id,awayRedCards,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.hasPositionGraph,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.type,homeTeam.id,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.type,awayTeam.id,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,awayTeam.disabled,homeTeam.disabled,homeScore.period2,awayScore.period2,homeRedCards,lastPeriod,time.initial,time.max,time.extra,statusTime.prefix,statusTime.initial,statusTime.max,statusTime.timestamp,statusTime.extra,roundInfo.name,roundInfo.cupRoundType
fmbsEzp,0.0,-1.0,False,,,10443548,,1657368000,puszcza-niepolomice-ruch-chorzow,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,0,853,False,False,0,86,1.0,0,Not started,notstarted,Puszcza Niepołomice,puszcza-niepolomice,Puszcza,Football,football,1,0,0,38729,[],#52b030,#52b030,#ffffff,Ruch Chorzów,ruch-chorzow,Ruch Chorzów,Football,football,1,0,0,3105,[],#52b030,#52b030,#ffffff,,,,,,,,,,,,,0,False,,,,,,,,,,,,,,,
YbbsFdb,0.0,-1.0,False,,,10433342,,1657368000,sv-waldhof-mannheim-sv-07-elversberg,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,0,853,False,False,0,86,1.0,0,Not started,notstarted,SV Waldhof Mannheim,sv-waldhof-mannheim,Mannheim,Football,football,1,0,0,2680,[],#52b030,#52b030,#ffffff,SV 07 Elversberg,sv-07-elversberg,Elversberg,Football,football,1,0,0,2598,[],#52b030,#52b030,#ffffff,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
Xbbsxtqb,0.0,-1.0,False,,,10433340,,1657368000,sv-wehen-wiesbaden-tsv-steinbach-haiger,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,0,853,False,False,0,86,1.0,0,Not started,notstarted,SV Wehen Wiesbaden,sv-wehen-wiesbaden,Wehen,Football,football,1,0,0,2597,[],#52b030,#52b030,#ffffff,TSV Steinbach Haiger,tsv-steinbach-haiger,Steinbach,Football,football,1,0,0,165922,[],#52b030,#52b030,#ffffff,,,,,,,,,,,,,0,,False,,,,,,,,,,,,,,
YdsNe,0.0,-1.0,False,,,10431927,,1657368000,wealdstone-slough-town,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,0,853,False,False,0,86,1.0,0,Not started,notstarted,Slough Town,slough-town,Slough,Football,football,1,0,0,198,[],#52b030,#52b030,#ffffff,Wealdstone,wealdstone,Wealdstone,Football,football,1,0,0,238,[],#52b030,#52b030,#ffffff,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
WWobsimkc,0.0,-1.0,False,,,10437742,,1657368000,turkgucu-munchen-tsv-dachau-1865,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,0,853,False,False,0,86,1.0,0,Not started,notstarted,TSV Dachau 1865,tsv-dachau-1865,1865 Dachau,Football,football,1,0,0,162346,[],#52b030,#52b030,#ffffff,Türkgücü München,turkgucu-munchen,Türkgücü-München,Football,football,1,0,0,275608,[],#52b030,#52b030,#ffffff,,,,,,,,,,,,,0,False,,,,,,,,,,,,,,,
BsP,0.0,-1.0,False,,,10354532,,1657368000,aston-villa-walsall,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,0,853,False,False,0,86,1.0,0,Not started,notstarted,Walsall,walsall,Walsall,Football,football,1,0,0,26,[],#52b030,#52b030,#ffffff,Aston Villa,aston-villa,Aston Villa,Football,football,1,0,0,40,[],#52b030,#52b030,#ffffff,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
cbbsZib,0.0,-1.0,False,,,10432070,,1657369800,de-graafschap-sc-rot-weiss-oberhausen,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,0,853,False,False,0,86,1.0,0,Not started,notstarted,De Graafschap,de-graafschap,De Graafschap,Football,football,1,0,0,2949,[],#52b030,#52b030,#ffffff,SC Rot-Weiß Oberhausen,sc-rot-weiss-oberhausen,Oberhausen,Football,football,1,0,0,2552,[],#52b030,#52b030,#ffffff,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
gjbsmjb,0.0,-1.0,False,,,10412343,,1657369800,nec-nijmegen-rkc-waalwijk,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,0,853,False,False,0,86,1.0,0,Not started,notstarted,NEC Nijmegen,nec-nijmegen,NEC,Football,football,1,0,0,2962,[],#52b030,#52b030,#ffffff,RKC Waalwijk,rkc-waalwijk,Waalwijk,Football,football,1,0,0,2956,[],#52b030,#52b030,#ffffff,,,,,,,,,,,,,0,False,False,,,,,,,,,,,,,,
WPsjjb,0.0,-1.0,False,,,10411787,,1657369800,feyenoord-red-bull-salzburg,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,0,853,False,False,0,86,1.0,0,Not started,notstarted,Red Bull Salzburg,red-bull-salzburg,RB Salzburg,Football,football,1,0,0,2046,[],#52b030,#52b030,#ffffff,Feyenoord,feyenoord,Feyenoord,Football,football,1,0,0,2959,[],#52b030,#52b030,#ffffff,,,,,,,,,,,,,0,False,,,,,,,,,,,,,,,
ZYswdb,0.0,-1.0,False,,,10412407,,1657371600,1-fc-koln-grasshopper-club-zurich,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,0,853,False,False,0,86,1.0,0,Not started,notstarted,1. FC Köln,1-fc-koln,Köln,Football,football,1,0,0,2671,[],#52b030,#52b030,#ffffff,Grasshopper Club Zürich,grasshopper-club-zurich,Grasshoppers,Football,football,1,0,0,2449,[],#52b030,#52b030,#ffffff,,,,,,,,,,,,,0,False,,,,,,,,,,,,,,,
